136;Urząd Skarbowy;Wadowice;34-100;Legionów 22;55101012700029032221000000;05101012700029032222000000;52101012700029032223000000;46101012700029032227000000
137;Urząd Skarbowy;Wieliczka;32-020;Zamkowa 2;25101012700004912221000000;72101012700004912222000000;22101012700004912223000000;16101012700004912227000000
138;Urząd Skarbowy;Zakopane;34-500;Szymony 14;58101012700044442221000000;08101012700044442222000000;55101012700044442223000000;49101012700044442227000000
139;Urząd Skarbowy;Białobrzegi;26-800;Władysława Reymonta 46;13101010100351032221000000;60101010100351032222000000;10101010100351032223000000;04101010100351032227000000
140;Urząd Skarbowy;Ciechanów;06-400;Warszawska 58;35101010100070542221000000;82101010100070542222000000;32101010100070542223000000;26101010100070542227000000
141;Urząd Skarbowy;Garwolin;08-400;Senatorska 30;74101010100023522221000000;24101010100023522222000000;71101010100023522223000000;65101010100023522227000000
142;Urząd Skarbowy;Gostynin;09-500;Płocka 10;93101010100497802221000000;43101010100497802222000000;90101010100497802223000000;84101010100497802227000000
143;Urząd Skarbowy;Grodzisk Mazowiecki;05-825;Daleka 11;29101010100163882221000000;76101010100163882222000000;26101010100163882223000000;20101010100163882227000000
144;Urząd Skarbowy;Grójec;05-600;ks. Piotra Skargi 35;97101010100350862221000000;47101010100350862222000000;94101010100350862223000000;88101010100350862227000000
145;Urząd Skarbowy;Kozienice;26-900;Parkowa 5;20101010100007072221000000;67101010100007072222000000;17101010100007072223000000;11101010100007072227000000
146;Urząd Skarbowy;Legionowo;05-120;Marszałka Józefa Piłsudskiego 43C;92101010100161572221000000;42101010100161572222000000;89101010100161572223000000;83101010100161572227000000
147;Urząd Skarbowy;Łosice;08-200;11 Listopada 1;17101010100000392221000000;64101010100000392222000000;14101010100000392223000000;08101010100000392227000000
148;Urząd Skarbowy;Maków Mazowiecki;06-200;Kopernika 6C;85101010100595742221000000;35101010100595742222000000;82101010100595742223000000;76101010100595742227000000
149;Urząd Skarbowy;Mińsk Mazowiecki;05-300;Szczecińska 2;72101010100091172221000000;22101010100091172222000000;69101010100091172223000000;63101010100091172227000000
150;Urząd Skarbowy;Mława;06-500;Gabriela Narutowicza 19/7;15101010100917762221000000;62101010100917762222000000;12101010100917762223000000;06101010100917762227000000
151;Urząd Skarbowy;Nowy Dwór Mazowiecki;05-100;Legionów 7;91101010100166782221000000;41101010100166782222000000;88101010100166782223000000;82101010100166782227000000
152;Urząd Skarbowy;Ostrołęka;07-400;Przechodnia 6;48101010100284112221000000;95101010100284112222000000;45101010100284112223000000;39101010100284112227000000
153;Urząd Skarbowy;Ostrów Mazowiecka;07-300;Stanisława Dubois 1;94101010100433422221000000;44101010100433422222000000;91101010100433422223000000;85101010100433422227000000
154;Urząd Skarbowy;Otwock;05-400;Jana Matejki 4;22101010100167372221000000;69101010100167372222000000;19101010100167372223000000;13101010100167372227000000
155;Urząd Skarbowy;Piaseczno;05-500;Energetyczna 5;40101010100161862221000000;87101010100161862222000000;37101010100161862223000000;31101010100161862227000000
156;Urząd Skarbowy;Płock;09-402;1 Maja 10;13101010100070702221000000;60101010100070702222000000;10101010100070702223000000;04101010100070702227000000
157;Urząd Skarbowy;Płońsk;09-100;Spółdzielcza 2;13101010100918482221000000;60101010100918482222000000;10101010100918482223000000;04101010100918482227000000
158;Urząd Skarbowy;Pruszków;05-800;Stanisława Staszica 1;46101010100162612221000000;93101010100162612222000000;43101010100162612223000000;37101010100162612227000000
159;Urząd Skarbowy;Przasnysz;06-300;Świerkowa 3;53101010100596592221000000;03101010100596592222000000;50101010100596592223000000;44101010100596592227000000
160;Urząd Skarbowy;Pułtusk;06-100;Żwirki i Wigury 7;95101010100918062221000000;45101010100918062222000000;92101010100918062223000000;86101010100918062227000000
161;Pierwszy Urząd Skarbowy;Radom;26-615;Stanisława Zbrowskiego 106;49101010100096542221000000;96101010100096542222000000;46101010100096542223000000;40101010100096542227000000
162;Drugi Urząd Skarbowy;Radom;26-600;Toruńska 3;07101010100027272221000000;54101010100027272222000000;04101010100027272223000000;95101010100027272227000000
163;Urząd Skarbowy;Siedlce;08-110;Józefa Piłsudskiego 68;54101010100332392221000000;04101010100332392222000000;51101010100332392223000000;45101010100332392227000000
164;Urząd Skarbowy;Sierpc;09-200;Piastowska 48;95101010100091622221000000;45101010100091622222000000;92101010100091622223000000;86101010100091622227000000
165;Urząd Skarbowy;Sochaczew;96-500;Władysława Grabskiego 4;10101010100161992221000000;57101010100161992222000000;07101010100161992223000000;98101010100161992227000000
166;Urząd Skarbowy;Sokołów Podlaski;08-300;Węgrowska 5;69101010100272672221000000;19101010100272672222000000;66101010100272672223000000;60101010100272672227000000
167;Urząd Skarbowy;Szydłowiec;26-500;Widok 6;67101010100350992221000000;17101010100350992222000000;64101010100350992223000000;58101010100350992227000000
168;Urząd Skarbowy Warszawa-Bemowo;Warszawa;02-325;Białobrzeska 53A;11101010100165512221000000;58101010100165512222000000;08101010100165512223000000;02101010100165512227000000
